Datetime,Symbol,Gap,Previous_Day_Return,RVOL,ORB_High,ORB_Low,ORB_Range,ORB_Percent,ORB_Body,VWAP_Distance,ATR_Percent,EMA20_Distance,Future_15m,Future_30m,Future_60m,RS_15,RS_30,RS_60
2026-06-12 09:15:00+05:30,ASIANPAINT,1.3271,0.0372,0.9666,2745.0,2718.0,27.0,0.9906,0.0514,-0.1759,0.4211,1.1668,-0.2863,-0.4662,-0.0881,1.2751,1.3128,1.6113
2026-06-15 09:15:00+05:30,ASIANPAINT,2.9269,-0.3165,13.938,2832.7,2780.0,52.7,1.8686,0.2517,0.4988,0.5467,3.0719,-1.3935,-1.2591,-1.588,3.186,2.8594,3.0957
2026-06-16 09:15:00+05:30,ASIANPAINT,0.1571,-0.0913,0.0785,2752.8,2735.0,17.8,0.6494,0.259,0.102,0.2958,-0.0087,-0.1128,0.0946,0.5131,0.4166,0.3249,0.2773
2026-06-17 09:15:00+05:30,ASIANPAINT,0.5091,0.0218,0.6043,2768.9,2750.2,18.7,0.6766,0.2207,-0.0399,0.1979,0.2412,-0.0036,-0.0145,-0.2103,0.2873,0.3092,0.4151
2026-06-18 09:15:00+05:30,ASIANPAINT,0.3399,-0.1022,1.289,2750.0,2728.2,21.8,0.7942,0.561,-0.2315,0.2551,-0.3822,0.5532,0.6704,0.6118,-0.223,-0.325,-0.3723
2026-06-19 09:15:00+05:30,ASIANPAINT,0.0,-0.1704,0.9523,2752.9,2727.3,25.6,0.9299,0.6321,-0.112,0.2917,-0.3081,-0.0658,0.011,-0.0804,-0.6321,-0.8014,-0.011
2026-06-22 09:15:00+05:30,ASIANPAINT,0.2449,0.2124,1.4736,2756.5,2726.5,30.0,1.0938,0.4047,-0.241,0.3099,0.0438,-0.1684,-0.2306,-0.3917,-0.1608,0.0513,0.1981
2026-06-23 09:15:00+05:30,ASIANPAINT,-0.1496,-0.0523,1.585,2669.9,2650.1,19.8,0.7419,0.2698,0.0451,0.2834,-0.9848,0.1954,0.6988,0.7777,-0.419,-0.4711,-0.7458
2026-06-24 09:15:00+05:30,ASIANPAINT,0.0,0.079,0.6425,2679.8,2662.0,17.8,0.6687,0.4884,0.1023,0.2868,0.2626,-0.015,-0.6505,-0.157,0.4884,0.5677,0.5261
2026-06-25 09:15:00+05:30,ASIANPAINT,0.7491,0.2553,1.4509,2690.7,2651.1,39.6,1.4721,1.2825,-0.3851,0.3696,-0.3604,0.0603,1.0356,0.708,-0.5431,-0.2891,-0.3901
2026-06-29 09:15:00+05:30,ASIANPAINT,-0.3295,-0.1173,0.8691,2675.6,2630.0,45.6,1.733,1.5772,0.5014,0.4102,0.4057,0.4565,-0.1347,-0.4377,1.2424,1.1237,0.8832
2026-05-05 09:15:00+05:30,BRITANNIA,-0.431,0.1208,1.0014,5809.0,5754.5,54.5,0.9437,0.1212,-0.1587,0.3783,-0.1586,-0.1214,0.2254,0.2774,-0.5517,-0.4316,-0.2162
2026-05-06 09:15:00+05:30,BRITANNIA,1.0487,-0.3341,0.8051,5880.0,5831.5,48.5,0.8251,0.4338,-0.037,0.3326,0.7405,-0.393,-0.9739,-1.2644,0.6103,0.2741,0.4807
2026-05-07 09:15:00+05:30,BRITANNIA,0.1382,0.1643,2.9757,5798.0,5741.0,57.0,0.9831,0.6295,-0.0925,0.3068,-0.5885,0.2343,-0.1215,0.3037,-0.4922,-0.3287,-0.903
2026-05-08 09:15:00+05:30,BRITANNIA,-4.2732,1.4479,10.86,5654.0,5524.0,130.0,2.3074,1.7217,-0.6222,0.9172,-4.2299,0.4786,0.6231,0.9843,-5.9213,-4.5592,-4.1461
2026-05-11 09:15:00+05:30,BRITANNIA,-0.1904,-0.1267,0.1567,5508.0,5395.0,113.0,2.0525,1.7982,-0.5518,0.4505,-2.4006,0.1757,0.4902,0.8046,-1.9851,-2.1094,-2.1448
2026-05-12 09:15:00+05:30,BRITANNIA,-0.1201,0.0,0.3477,5425.0,5370.0,55.0,1.0179,0.5644,-0.3031,0.2592,-0.9734,-0.121,-0.4095,-0.1117,-0.6839,-0.6839,-0.7848
2026-05-13 09:15:00+05:30,BRITANNIA,0.225,0.1314,0.9573,5358.0,5313.0,45.0,0.8419,0.4864,-0.2064,0.3216,-0.5806,-0.5076,0.2256,0.6768,-0.2625,-0.1314,-0.5887
2026-05-14 09:15:00+05:30,BRITANNIA,0.1406,0.0187,0.522,5379.5,5343.5,36.0,0.6737,0.393,0.0373,0.3682,0.1557,-0.5406,-0.7922,-0.3169,0.5341,0.553,-0.2232
2026-05-15 09:15:00+05:30,BRITANNIA,-0.3247,0.3351,1.4848,5417.0,5365.0,52.0,0.9679,0.5584,0.1421,0.2823,0.5149,-0.0833,0.0648,0.0093,0.2319,0.5678,0.5397
2026-05-18 09:15:00+05:30,BRITANNIA,-0.3608,-0.0647,0.8536,5385.5,5303.5,82.0,1.5226,1.4855,-0.4877,0.3507,-1.6193,0.3016,0.1131,0.4995,-1.8409,-1.9044,-1.9407
2026-05-19 09:15:00+05:30,BRITANNIA,-0.2783,0.1673,0.8814,5436.5,5375.0,61.5,1.1442,0.9953,0.2802,0.3803,0.9597,-0.1013,0.2947,0.4237,0.7143,0.8827,0.761
2026-05-20 09:15:00+05:30,BRITANNIA,-0.5545,-0.2029,2.5113,5390.5,5327.5,63.0,1.171,0.6134,-0.1494,0.334,-1.1715,0.0281,-0.0561,-0.0281,-1.1645,-1.3651,-1.0365
2026-05-21 09:15:00+05:30,BRITANNIA,0.215,0.1873,0.7814,5373.0,5342.5,30.5,0.5689,0.0466,0.0156,0.1933,0.1504,-0.5505,-0.6718,-0.5785,0.1682,0.3558,0.2619
