Round,Combination,Timeframe,Best Rank,Locked Filters,Factor,Operator,Threshold Value,Filter,60,120,180,365,730,Baseline,Score,Improvement %,Trades,Coverage,Win Rate,Avg Return
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,Previous_Day_Return,>,-0.4617,Previous_Day_Return>-0.4617,0.129,0.102,0.073,0.033,0.013,0.095,0.095,-0.14,34,3.09,55.88,0.129
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,Previous_Day_Return,>,-0.3387,Previous_Day_Return>-0.3387,0.131,0.098,0.069,0.038,0.008,0.095,0.095,-0.1,32,3.04,53.12,0.131
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,Previous_Day_Return,>,-0.2697,Previous_Day_Return>-0.2697,0.108,0.074,0.052,0.034,0.01,0.095,0.075,-20.61,29,2.9,48.28,0.108
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,Previous_Day_Return,>,-0.2118,Previous_Day_Return>-0.2118,0.105,0.07,0.045,0.029,0.004,0.095,0.071,-24.83,27,2.83,48.15,0.105
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,Previous_Day_Return,>,-0.1657,Previous_Day_Return>-0.1657,0.115,0.085,0.042,0.027,0.006,0.095,0.078,-17.72,23,2.56,47.83,0.115
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,Previous_Day_Return,>,-0.1279,Previous_Day_Return>-0.1279,0.118,0.07,0.073,0.034,0.014,0.095,0.082,-13.47,21,2.43,42.86,0.118
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,Previous_Day_Return,<,-0.0941,Previous_Day_Return<-0.0941,0.138,0.112,0.02,0.004,0.021,0.095,0.087,-8.94,20,5.97,70.0,0.138
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,Previous_Day_Return,<,-0.0636,Previous_Day_Return<-0.0636,0.117,0.102,0.008,0.011,0.022,0.095,0.075,-21.32,22,5.79,68.18,0.117
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,Previous_Day_Return,<,-0.0327,Previous_Day_Return<-0.0327,0.117,0.088,0.023,0.02,0.028,0.095,0.075,-21.32,25,5.76,68.0,0.117
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,Previous_Day_Return,<,-0.0058,Previous_Day_Return<-0.0058,0.108,0.084,0.019,0.01,0.02,0.095,0.068,-27.96,26,5.41,65.38,0.108
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,Previous_Day_Return,<,0.0166,Previous_Day_Return<0.0166,0.083,0.038,0.001,-0.001,0.018,0.095,0.041,-57.09,28,5.22,60.71,0.083
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,Previous_Day_Return,<,0.0426,Previous_Day_Return<0.0426,0.083,0.028,-0.008,-0.018,0.011,0.095,0.033,-64.94,28,4.7,60.71,0.083
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,Previous_Day_Return,<,0.0746,Previous_Day_Return<0.0746,0.106,0.062,0.018,0.0,0.017,0.095,0.059,-37.53,30,4.64,60.0,0.106
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,Previous_Day_Return,<,0.1054,Previous_Day_Return<0.1054,0.12,0.071,0.026,0.001,0.015,0.095,0.069,-27.63,32,4.5,59.38,0.12
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,Previous_Day_Return,<,0.14,Previous_Day_Return<0.14,0.097,0.062,0.02,0.004,0.01,0.095,0.057,-39.87,34,4.4,55.88,0.097
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,Previous_Day_Return,<,0.185,Previous_Day_Return<0.185,0.097,0.076,0.031,0.007,0.01,0.095,0.064,-32.39,34,4.05,55.88,0.097
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,Previous_Day_Return,<,0.2425,Previous_Day_Return<0.2425,0.086,0.066,0.026,0.007,0.009,0.095,0.056,-40.76,36,3.99,55.56,0.086
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,Previous_Day_Return,<,0.3158,Previous_Day_Return<0.3158,0.147,0.097,0.048,0.02,0.015,0.095,0.094,-1.54,38,3.85,57.89,0.147
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,Previous_Day_Return,<,0.458,Previous_Day_Return<0.458,0.147,0.104,0.054,0.023,0.017,0.095,0.097,2.16,38,3.59,57.89,0.147
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,RS_60,>,-1.7851,RS_60>-1.7851,0.146,0.078,0.027,0.018,0.016,0.095,0.083,-12.89,37,3.45,56.76,0.146
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,RS_60,>,-1.1969,RS_60>-1.1969,0.171,0.11,0.045,0.025,0.021,0.095,0.106,11.44,33,3.29,60.61,0.171
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,RS_60,>,-0.9006,RS_60>-0.9006,0.171,0.113,0.042,0.025,0.011,0.095,0.106,11.62,33,3.5,60.61,0.171
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,RS_60,>,-0.6961,RS_60>-0.6961,0.175,0.114,0.045,0.026,0.006,0.095,0.108,13.77,32,3.6,59.38,0.175
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,RS_60,>,-0.5438,RS_60>-0.5438,0.192,0.127,0.051,0.027,0.006,0.095,0.12,26.07,30,3.6,63.33,0.192
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,RS_60,>,-0.4051,RS_60>-0.4051,0.198,0.13,0.044,0.023,0.004,0.095,0.121,26.93,24,3.05,70.83,0.198
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,RS_60,>,-0.2751,RS_60>-0.2751,0.198,0.164,0.063,0.031,0.004,0.095,0.136,42.84,23,3.18,69.57,0.198
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,RS_60,<,-0.0566,RS_60<-0.0566,0.136,0.065,0.046,0.006,0.029,0.095,0.077,-18.84,20,3.85,50.0,0.136
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,RS_60,<,0.041,RS_60<0.041,0.112,0.067,0.048,0.021,0.031,0.095,0.072,-24.03,22,3.83,50.0,0.112
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,RS_60,<,0.1437,RS_60<0.1437,0.08,0.064,0.06,0.024,0.022,0.095,0.063,-33.72,24,3.85,45.83,0.08
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,RS_60,<,0.2436,RS_60<0.2436,0.111,0.081,0.071,0.019,0.025,0.095,0.08,-15.6,27,3.98,48.15,0.111
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,RS_60,<,0.3531,RS_60<0.3531,0.106,0.084,0.069,0.017,0.025,0.095,0.079,-17.32,29,3.89,51.72,0.106
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,RS_60,<,0.4693,RS_60<0.4693,0.099,0.073,0.063,0.02,0.022,0.095,0.072,-24.18,31,3.85,51.61,0.099
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,RS_60,<,0.5933,RS_60<0.5933,0.106,0.078,0.058,0.021,0.025,0.095,0.075,-20.91,32,3.73,53.12,0.106
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,RS_60,<,0.7473,RS_60<0.7473,0.126,0.089,0.074,0.027,0.027,0.095,0.09,-5.59,34,3.67,55.88,0.126
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,RS_60,<,0.9512,RS_60<0.9512,0.123,0.077,0.048,0.016,0.021,0.095,0.078,-17.7,35,3.58,57.14,0.123
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,RS_60,<,1.2435,RS_60<1.2435,0.144,0.088,0.056,0.023,0.021,0.095,0.091,-3.86,37,3.56,56.76,0.144
