Combination,Timeframe,Rank,60,120,180,365,730,Score,Trades,Coverage,Win Rate,Avg Return,Median Return,Overall Rank
VWAP_Distance + Previous_Day_Return + RS_60,15 Min,12,-0.011,-0.003,-0.029,-0.038,-0.005,-0.016,38,3.33,50.0,-0.011,-0.015,41
VWAP_Distance + Previous_Day_Return + RS_60,60 Min,17,0.082,-0.081,-0.088,-0.034,-0.052,-0.018,38,3.33,55.26,0.082,0.024,42
VWAP_Distance + Previous_Day_Return + RS_60,30 Min,13,0.022,-0.045,-0.046,-0.026,-0.035,-0.019,38,3.33,47.37,0.028,-0.01,43
VWAP_Distance + Previous_Day_Return + RS_60,30 Min,11,-0.033,0.0,-0.013,-0.037,-0.025,-0.02,38,3.33,50.0,-0.033,-0.011,44
VWAP_Distance + Previous_Day_Return + RS_60,30 Min,7,0.018,-0.076,-0.004,-0.027,0.002,-0.021,38,3.33,39.47,0.018,-0.098,45
VWAP_Distance + Previous_Day_Return + RS_60,15 Min,20,-0.006,-0.025,-0.051,-0.017,-0.005,-0.023,38,3.33,44.74,0.002,-0.006,46
VWAP_Distance + Previous_Day_Return + RS_60,15 Min,10,-0.022,-0.001,-0.037,-0.047,-0.012,-0.023,38,3.33,39.47,-0.022,-0.095,47
VWAP_Distance + Previous_Day_Return + RS_60,30 Min,28,-0.031,-0.07,-0.017,0.03,-0.004,-0.031,38,3.33,55.26,-0.031,0.029,48
VWAP_Distance + Previous_Day_Return + RS_60,60 Min,20,-0.009,-0.056,-0.054,-0.009,-0.032,-0.032,38,3.33,52.63,-0.009,0.015,49
VWAP_Distance + Previous_Day_Return + RS_60,30 Min,10,-0.038,-0.019,-0.035,-0.063,-0.024,-0.035,38,3.33,44.74,-0.038,-0.048,50
VWAP_Distance + Previous_Day_Return + RS_60,60 Min,5,0.025,-0.086,-0.066,-0.037,-0.026,-0.036,38,3.33,47.37,0.041,-0.003,51
VWAP_Distance + Previous_Day_Return + RS_60,15 Min,23,-0.014,-0.065,-0.042,-0.021,-0.013,-0.036,38,3.33,47.37,-0.007,-0.02,52
VWAP_Distance + Previous_Day_Return + RS_60,30 Min,30,-0.024,-0.072,-0.042,-0.02,-0.007,-0.041,38,3.33,47.37,-0.024,-0.039,53
VWAP_Distance + Previous_Day_Return + RS_60,15 Min,27,-0.074,-0.054,-0.002,-0.005,0.003,-0.043,38,3.33,39.47,-0.066,-0.078,54
VWAP_Distance + Previous_Day_Return + RS_60,15 Min,21,-0.083,-0.026,-0.018,-0.017,0.009,-0.043,38,3.33,39.47,-0.074,-0.075,55
VWAP_Distance + Previous_Day_Return + RS_60,30 Min,1,-0.089,0.005,-0.029,-0.054,-0.053,-0.044,38,3.33,50.0,-0.089,-0.04,56
VWAP_Distance + Previous_Day_Return + RS_60,30 Min,23,-0.048,-0.07,-0.026,-0.011,-0.01,-0.045,38,3.33,55.26,-0.048,0.034,57
VWAP_Distance + Previous_Day_Return + RS_60,30 Min,20,0.006,-0.096,-0.074,-0.027,-0.029,-0.046,38,3.33,47.37,0.006,-0.013,58
VWAP_Distance + Previous_Day_Return + RS_60,15 Min,22,-0.077,-0.029,-0.049,-0.025,-0.001,-0.049,38,3.33,42.11,-0.077,-0.029,59
VWAP_Distance + Previous_Day_Return + RS_60,15 Min,7,-0.038,-0.072,-0.046,-0.052,-0.026,-0.052,38,3.33,39.47,-0.038,-0.069,60
VWAP_Distance + Previous_Day_Return + RS_60,15 Min,5,-0.021,-0.076,-0.068,-0.056,-0.041,-0.052,38,3.33,39.47,-0.021,-0.05,61
VWAP_Distance + Previous_Day_Return + RS_60,15 Min,28,-0.066,-0.081,-0.022,-0.01,-0.016,-0.053,38,3.33,50.0,-0.066,0.005,62
VWAP_Distance + Previous_Day_Return + RS_60,30 Min,6,-0.083,-0.09,0.002,-0.003,-0.041,-0.056,38,3.33,36.84,-0.072,-0.12,63
VWAP_Distance + Previous_Day_Return + RS_60,60 Min,28,-0.069,-0.101,-0.045,0.019,-0.014,-0.06,38,3.33,42.11,-0.069,-0.16,64
VWAP_Distance + Previous_Day_Return + RS_60,30 Min,21,-0.079,-0.057,-0.049,-0.041,-0.012,-0.061,38,3.33,42.11,-0.079,-0.066,65
