Combination,Factor,Filter,60,120,180,365,730,Baseline,Score,Improvement %,Trades,Coverage,Win Rate,Avg Return,Timeframe,Best Rank,Rank,Locked Filters
VWAP_Distance + Previous_Day_Return + RS_60,RS_60,RS_60<1.2435,0.338,0.262,0.207,0.057,0.004,0.24,0.247,2.85,20,4.45,60.0,0.338,60 Min,24,1,Previous_Day_Return<-0.0058 AND RS_60<1.2435
VWAP_Distance + Previous_Day_Return + RS_60,RS_60,RS_60<1.8469,0.338,0.262,0.207,0.057,-0.0,0.24,0.247,2.85,20,4.32,60.0,0.338,60 Min,24,2,Previous_Day_Return<-0.0058 AND RS_60<1.2435
VWAP_Distance + Previous_Day_Return + RS_60,RS_60,RS_60<0.9512,0.338,0.251,0.199,0.053,-0.006,0.24,0.241,0.62,20,4.71,60.0,0.338,60 Min,24,3,Previous_Day_Return<-0.0058 AND RS_60<1.2435
