Combination,60,120,180,365,730,Score,Winner TF,Best Rank,Trades,Coverage,Win Rate,Avg Return,Rank
ORB_Range + ATR_Percent + Gap,0.218,0.192,0.086,0.074,0.029,0.162,60 Min,5,38,3.33,55.26,0.218,47
VWAP_Distance + Previous_Day_Return + ATR_Percent,0.306,0.087,0.089,0.068,0.017,0.161,60 Min,17,38,3.33,60.53,0.306,48
RS_15 + ORB_Low + RVOL,0.237,0.133,0.141,0.065,0.041,0.161,60 Min,30,38,3.33,71.05,0.237,49
ORB_Range + Previous_Day_Return + ATR_Percent,0.219,0.147,0.149,0.069,0.035,0.161,60 Min,7,38,3.33,50.0,0.219,50
Previous_Day_Return + RVOL + Gap,0.276,0.106,0.123,0.052,0.076,0.161,60 Min,27,38,3.33,60.53,0.276,51
Previous_Day_Return + RS_60 + RVOL,0.219,0.12,0.159,0.103,0.032,0.16,60 Min,23,38,3.33,57.89,0.219,52
ORB_Range + RVOL + Gap,0.271,0.118,0.1,0.049,0.014,0.158,60 Min,29,38,3.33,65.79,0.271,53
ORB_Range + ATR_Percent + RVOL,0.257,0.139,0.077,0.066,0.042,0.157,60 Min,5,38,3.33,63.16,0.257,54
VWAP_Distance + Previous_Day_Return + ORB_Low,0.23,0.164,0.092,0.056,0.033,0.157,60 Min,12,38,3.33,57.89,0.23,55
ORB_Low + RVOL + Gap,0.293,0.101,0.08,0.042,0.019,0.155,60 Min,29,38,3.33,57.89,0.293,56
RS_15 + Previous_Day_Return + RVOL,0.29,0.099,0.088,0.042,0.029,0.155,60 Min,17,38,3.33,60.53,0.29,57
RS_15 + Previous_Day_Return + Gap,0.237,0.15,0.102,0.038,0.032,0.154,60 Min,22,38,3.33,60.53,0.237,58
VWAP_Distance + RS_60 + RVOL,0.279,0.105,0.096,0.039,0.028,0.154,60 Min,13,38,3.33,65.79,0.288,59
ORB_Range + RS_15 + ATR_Percent,0.215,0.151,0.108,0.063,0.04,0.152,60 Min,15,38,3.33,57.89,0.215,60
RS_60 + ORB_Low + Gap,0.238,0.132,0.091,0.066,0.033,0.151,60 Min,29,38,3.33,52.63,0.238,61
RS_15 + RS_60 + RVOL,0.239,0.133,0.096,0.047,0.039,0.15,60 Min,2,38,3.33,63.16,0.239,62
ORB_Range + Previous_Day_Return + Gap,0.258,0.111,0.09,0.055,0.043,0.15,60 Min,19,38,3.33,73.68,0.258,63
Previous_Day_Return + ORB_Low + RVOL,0.197,0.135,0.142,0.073,0.063,0.149,60 Min,22,38,3.33,63.16,0.208,64
VWAP_Distance + ORB_Range + ATR_Percent,0.23,0.123,0.108,0.057,0.051,0.147,60 Min,6,38,3.33,50.0,0.23,65
RS_15 + RS_60 + ATR_Percent,0.23,0.136,0.094,0.048,0.049,0.147,60 Min,4,38,3.33,57.89,0.23,66
