Round,Combination,Timeframe,Best Rank,Locked Filters,Factor,Operator,Threshold Value,Filter,60,120,180,365,730,Baseline,Score,Improvement %,Trades,Coverage,Win Rate,Avg Return
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Previous_Day_Return,>,-0.0327,Previous_Day_Return>-0.0327,0.211,0.122,0.093,-0.001,-0.079,0.123,0.129,4.91,25,3.54,64.0,0.211
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Previous_Day_Return,>,-0.0058,Previous_Day_Return>-0.0058,0.218,0.124,0.083,-0.007,-0.085,0.123,0.129,5.01,24,3.64,62.5,0.218
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Previous_Day_Return,>,0.0166,Previous_Day_Return>0.0166,0.218,0.118,0.075,-0.02,-0.083,0.123,0.124,0.67,24,3.97,62.5,0.218
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Previous_Day_Return,>,0.0426,Previous_Day_Return>0.0426,0.218,0.118,0.071,-0.018,-0.08,0.123,0.123,0.2,24,4.41,62.5,0.218
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Previous_Day_Return,>,0.0746,Previous_Day_Return>0.0746,0.202,0.177,0.111,-0.001,-0.046,0.123,0.146,18.81,22,4.46,59.09,0.202
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Previous_Day_Return,<,0.1054,Previous_Day_Return<0.1054,0.159,0.128,0.073,0.011,-0.094,0.123,0.11,-10.47,20,2.81,55.0,0.159
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Previous_Day_Return,<,0.14,Previous_Day_Return<0.14,0.234,0.215,0.101,0.018,-0.095,0.123,0.169,37.74,24,3.1,58.33,0.234
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Previous_Day_Return,<,0.185,Previous_Day_Return<0.185,0.227,0.23,0.125,0.023,-0.082,0.123,0.177,43.91,31,3.69,64.52,0.227
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Previous_Day_Return,<,0.2425,Previous_Day_Return<0.2425,0.22,0.216,0.119,0.018,-0.075,0.123,0.168,36.72,32,3.55,62.5,0.22
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Previous_Day_Return,<,0.3158,Previous_Day_Return<0.3158,0.187,0.16,0.088,0.003,-0.073,0.123,0.132,6.91,37,3.75,62.16,0.187
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Previous_Day_Return,<,0.458,Previous_Day_Return<0.458,0.187,0.193,0.113,0.016,-0.068,0.123,0.148,20.44,37,3.5,62.16,0.187
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Gap,>,-1.0075,Gap>-1.0075,0.167,0.135,0.078,-0.002,-0.081,0.123,0.114,-7.1,37,3.43,59.46,0.167
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Gap,>,-0.5715,Gap>-0.5715,0.168,0.123,0.068,-0.004,-0.071,0.123,0.109,-11.73,35,3.52,60.0,0.168
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Gap,>,-0.3735,Gap>-0.3735,0.171,0.124,0.068,-0.007,-0.079,0.123,0.11,-10.89,34,3.7,58.82,0.171
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Gap,>,-0.2424,Gap>-0.2424,0.181,0.156,0.079,0.003,-0.069,0.123,0.126,2.83,32,3.74,59.38,0.181
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Gap,>,-0.1436,Gap>-0.1436,0.181,0.139,0.06,-0.008,-0.087,0.123,0.116,-5.85,32,4.07,59.38,0.181
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Gap,>,-0.0708,Gap>-0.0708,0.163,0.137,0.056,-0.008,-0.091,0.123,0.108,-12.03,30,4.14,56.67,0.163
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Gap,>,-0.0137,Gap>-0.0137,0.163,0.155,0.069,-0.002,-0.087,0.123,0.117,-4.97,30,4.4,56.67,0.163
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Gap,>,0.0052,Gap>0.0052,0.164,0.146,0.056,-0.003,-0.082,0.123,0.112,-8.95,28,4.49,57.14,0.164
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Gap,>,0.0543,Gap>0.0543,0.211,0.127,0.033,-0.02,-0.094,0.123,0.116,-5.9,27,4.66,59.26,0.211
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Gap,>,0.1041,Gap>0.1041,0.229,0.1,-0.03,-0.059,-0.11,0.123,0.096,-22.3,22,4.01,59.09,0.229
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Gap,>,0.1565,Gap>0.1565,0.28,0.121,-0.004,-0.045,-0.11,0.123,0.127,3.03,20,3.93,65.0,0.28
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Gap,>,0.2154,Gap>0.2154,0.28,0.121,0.001,-0.032,-0.108,0.123,0.13,5.4,20,4.25,65.0,0.28
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Gap,<,0.2792,Gap<0.2792,0.106,0.197,0.165,0.029,-0.052,0.123,0.134,8.79,21,2.91,61.9,0.106
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Gap,<,0.3448,Gap<0.3448,0.067,0.151,0.136,0.019,-0.069,0.123,0.099,-19.67,23,2.93,56.52,0.067
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Gap,<,0.4227,Gap<0.4227,0.067,0.129,0.098,-0.008,-0.096,0.123,0.08,-34.57,23,2.74,56.52,0.067
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Gap,<,0.5189,Gap<0.5189,0.081,0.133,0.073,-0.013,-0.095,0.123,0.081,-34.24,25,2.82,60.0,0.081
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Gap,<,0.6289,Gap<0.6289,0.194,0.174,0.093,-0.002,-0.091,0.123,0.138,12.35,30,3.21,63.33,0.194
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Gap,<,0.7939,Gap<0.7939,0.138,0.1,0.05,-0.017,-0.098,0.123,0.086,-30.29,35,3.5,60.0,0.138
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Gap,<,1.166,Gap<1.166,0.15,0.12,0.064,-0.007,-0.09,0.123,0.1,-18.38,36,3.36,61.11,0.15
