Round,Combination,Timeframe,Best Rank,Locked Filters,Factor,Operator,Threshold Value,Filter,60,120,180,365,730,Baseline,Score,Improvement %,Trades,Coverage,Win Rate,Avg Return,Rank
3,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,ORB_Low<1682.9 AND Previous_Day_Return>-0.3387,RS_60,>,-0.5438,RS_60>-0.5438,0.264,0.176,0.11,0.058,-0.016,0.171,0.176,2.8,20,4.58,70.0,0.264,1
3,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,ORB_Low<1682.9 AND Previous_Day_Return>-0.3387,RS_60,>,-0.6961,RS_60>-0.6961,0.264,0.172,0.103,0.056,-0.017,0.171,0.173,1.09,20,4.33,70.0,0.264,2
3,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,ORB_Low<1682.9 AND Previous_Day_Return>-0.3387,RS_60,>,-0.9006,RS_60>-0.9006,0.264,0.172,0.103,0.053,-0.016,0.171,0.172,0.85,20,4.11,70.0,0.264,3
3,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,ORB_Low<1682.9 AND Previous_Day_Return>-0.3387,RS_60,>,-1.1969,RS_60>-1.1969,0.264,0.164,0.101,0.051,-0.005,0.171,0.169,-1.02,20,3.87,70.0,0.264,4
3,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,ORB_Low<1682.9 AND Previous_Day_Return>-0.3387,RS_60,>,-1.7851,RS_60>-1.7851,0.264,0.139,0.08,0.044,-0.007,0.171,0.157,-8.4,20,3.62,70.0,0.264,5
