Round,Combination,Timeframe,Best Rank,Locked Filters,Factor,Operator,Threshold Value,Filter,60,120,180,365,730,Baseline,Score,Improvement %,Trades,Coverage,Win Rate,Avg Return
1,VWAP_Distance + Previous_Day_Return + RS_60,60 Min,24,,VWAP_Distance,>,-0.5258,VWAP_Distance>-0.5258,0.192,0.208,0.168,0.07,0.013,0.14,0.174,24.03,34,3.1,55.88,0.192
1,VWAP_Distance + Previous_Day_Return + RS_60,60 Min,24,,VWAP_Distance,>,-0.386,VWAP_Distance>-0.386,0.166,0.21,0.161,0.052,0.012,0.14,0.161,14.98,30,2.9,53.33,0.166
1,VWAP_Distance + Previous_Day_Return + RS_60,60 Min,24,,VWAP_Distance,>,-0.3068,VWAP_Distance>-0.3068,0.182,0.224,0.158,0.059,0.018,0.14,0.171,22.34,28,2.87,53.57,0.182
1,VWAP_Distance + Previous_Day_Return + RS_60,60 Min,24,,VWAP_Distance,>,-0.2523,VWAP_Distance>-0.2523,0.203,0.236,0.179,0.069,0.013,0.14,0.188,34.15,24,2.62,54.17,0.203
1,VWAP_Distance + Previous_Day_Return + RS_60,60 Min,24,,VWAP_Distance,<,-0.2064,VWAP_Distance<-0.2064,0.062,-0.026,0.026,0.029,-0.008,0.14,0.023,-83.29,22,7.86,50.0,0.062
1,VWAP_Distance + Previous_Day_Return + RS_60,60 Min,24,,VWAP_Distance,<,-0.1678,VWAP_Distance<-0.1678,0.07,-0.028,0.03,0.029,-0.014,0.14,0.027,-80.9,23,6.93,52.17,0.07
1,VWAP_Distance + Previous_Day_Return + RS_60,60 Min,24,,VWAP_Distance,<,-0.13,VWAP_Distance<-0.13,0.053,0.007,0.079,0.051,0.002,0.14,0.044,-68.47,26,6.72,50.0,0.053
1,VWAP_Distance + Previous_Day_Return + RS_60,60 Min,24,,VWAP_Distance,<,-0.0972,VWAP_Distance<-0.0972,0.104,0.031,0.093,0.059,0.013,0.14,0.073,-47.96,27,6.11,51.85,0.104
1,VWAP_Distance + Previous_Day_Return + RS_60,60 Min,24,,VWAP_Distance,<,-0.0635,VWAP_Distance<-0.0635,0.096,0.001,0.074,0.035,0.004,0.14,0.054,-61.29,28,5.69,50.0,0.096
1,VWAP_Distance + Previous_Day_Return + RS_60,60 Min,24,,VWAP_Distance,<,-0.0274,VWAP_Distance<-0.0274,0.097,0.003,0.068,0.039,0.007,0.14,0.054,-61.21,32,5.63,50.0,0.097
1,VWAP_Distance + Previous_Day_Return + RS_60,60 Min,24,,VWAP_Distance,<,0.0074,VWAP_Distance<0.0074,0.097,0.002,0.06,0.017,0.005,0.14,0.049,-64.87,32,5.05,50.0,0.097
