Round,Combination,Timeframe,Best Rank,Locked Filters,Factor,Operator,Threshold Value,Filter,60,120,180,365,730,Baseline,Score,Improvement %,Trades,Coverage,Win Rate,Avg Return,Rank
3,ORB_Range + Previous_Day_Return + RS_60,60 Min,25,RS_60>-0.4051 AND ORB_Range>2.05,Previous_Day_Return,<,0.0746,Previous_Day_Return<0.0746,0.197,0.274,0.21,0.094,0.053,0.182,0.207,13.81,20,4.93,60.0,0.197,1
3,ORB_Range + Previous_Day_Return + RS_60,60 Min,25,RS_60>-0.4051 AND ORB_Range>2.05,Previous_Day_Return,<,0.458,Previous_Day_Return<0.458,0.197,0.219,0.177,0.083,0.04,0.182,0.182,0.21,20,2.93,60.0,0.197,2
3,ORB_Range + Previous_Day_Return + RS_60,60 Min,25,RS_60>-0.4051 AND ORB_Range>2.05,Previous_Day_Return,<,0.185,Previous_Day_Return<0.185,0.197,0.217,0.175,0.081,0.035,0.182,0.181,-0.6,20,3.7,60.0,0.197,3
3,ORB_Range + Previous_Day_Return + RS_60,60 Min,25,RS_60>-0.4051 AND ORB_Range>2.05,Previous_Day_Return,<,0.2425,Previous_Day_Return<0.2425,0.197,0.217,0.175,0.081,0.035,0.182,0.181,-0.6,20,3.45,60.0,0.197,4
3,ORB_Range + Previous_Day_Return + RS_60,60 Min,25,RS_60>-0.4051 AND ORB_Range>2.05,Previous_Day_Return,<,0.3158,Previous_Day_Return<0.3158,0.197,0.217,0.175,0.081,0.039,0.182,0.181,-0.6,20,3.13,60.0,0.197,5
3,ORB_Range + Previous_Day_Return + RS_60,60 Min,25,RS_60>-0.4051 AND ORB_Range>2.05,Previous_Day_Return,<,0.1054,Previous_Day_Return<0.1054,0.197,0.214,0.173,0.079,0.031,0.182,0.179,-1.4,20,4.44,60.0,0.197,6
3,ORB_Range + Previous_Day_Return + RS_60,60 Min,25,RS_60>-0.4051 AND ORB_Range>2.05,Previous_Day_Return,<,0.14,Previous_Day_Return<0.14,0.197,0.214,0.173,0.079,0.032,0.182,0.179,-1.4,20,4.02,60.0,0.197,7
