Round,Combination,Timeframe,Best Rank,Locked Filters,Factor,Operator,Threshold Value,Filter,60,120,180,365,730,Baseline,Score,Improvement %,Trades,Coverage,Win Rate,Avg Return
1,ORB_Range + RS_15 + ORB_Low + ATR_Percent,60 Min,15,,ORB_Range,>,2.05,ORB_Range>2.05,0.424,0.259,0.136,0.025,0.013,0.288,0.257,-10.8,37,3.45,72.97,0.424
1,ORB_Range + RS_15 + ORB_Low + ATR_Percent,60 Min,15,,ORB_Range,>,4.6,ORB_Range>4.6,0.315,0.203,0.097,0.006,0.015,0.288,0.191,-33.62,35,3.41,71.43,0.315
1,ORB_Range + RS_15 + ORB_Low + ATR_Percent,60 Min,15,,ORB_Range,>,6.9,ORB_Range>6.9,0.315,0.201,0.095,0.006,0.014,0.288,0.19,-33.88,35,3.57,71.43,0.315
1,ORB_Range + RS_15 + ORB_Low + ATR_Percent,60 Min,15,,ORB_Range,>,8.6,ORB_Range>8.6,0.315,0.201,0.098,0.018,0.015,0.288,0.193,-33.1,35,3.78,71.43,0.315
1,ORB_Range + RS_15 + ORB_Low + ATR_Percent,60 Min,15,,ORB_Range,>,10.1,ORB_Range>10.1,0.397,0.225,0.132,0.042,0.026,0.288,0.239,-16.89,30,3.44,73.33,0.397
1,ORB_Range + RS_15 + ORB_Low + ATR_Percent,60 Min,15,,ORB_Range,>,11.7,ORB_Range>11.7,0.383,0.231,0.133,0.062,0.018,0.288,0.239,-17.0,27,3.32,70.37,0.383
1,ORB_Range + RS_15 + ORB_Low + ATR_Percent,60 Min,15,,ORB_Range,>,13.2,ORB_Range>13.2,0.289,0.19,0.114,0.058,0.017,0.288,0.189,-34.21,25,3.27,68.0,0.289
1,ORB_Range + RS_15 + ORB_Low + ATR_Percent,60 Min,15,,ORB_Range,>,14.8,ORB_Range>14.8,0.314,0.199,0.121,0.067,0.035,0.288,0.204,-29.19,24,3.4,70.83,0.314
1,ORB_Range + RS_15 + ORB_Low + ATR_Percent,60 Min,15,,ORB_Range,>,16.7075,ORB_Range>16.7075,0.363,0.219,0.144,0.114,0.05,0.288,0.239,-17.18,21,3.31,71.43,0.363
1,ORB_Range + RS_15 + ORB_Low + ATR_Percent,60 Min,15,,ORB_Range,<,21.4,ORB_Range<21.4,0.581,0.439,0.214,-0.0,0.028,0.288,0.378,31.19,23,3.6,78.26,0.581
1,ORB_Range + RS_15 + ORB_Low + ATR_Percent,60 Min,15,,ORB_Range,<,24.75,ORB_Range<24.75,0.487,0.364,0.204,0.015,0.01,0.288,0.322,11.97,28,4.02,75.0,0.487
1,ORB_Range + RS_15 + ORB_Low + ATR_Percent,60 Min,15,,ORB_Range,<,29.1275,ORB_Range<29.1275,0.553,0.341,0.179,0.031,0.026,0.288,0.337,16.87,32,4.29,78.12,0.553
1,ORB_Range + RS_15 + ORB_Low + ATR_Percent,60 Min,15,,ORB_Range,<,34.7,ORB_Range<34.7,0.535,0.302,0.153,0.023,0.01,0.288,0.312,8.24,34,4.22,76.47,0.535
1,ORB_Range + RS_15 + ORB_Low + ATR_Percent,60 Min,15,,ORB_Range,<,41.5,ORB_Range<41.5,0.478,0.266,0.145,0.02,0.015,0.288,0.279,-3.09,37,4.25,72.97,0.478
1,ORB_Range + RS_15 + ORB_Low + ATR_Percent,60 Min,15,,ORB_Range,<,50.3,ORB_Range<50.3,0.478,0.3,0.158,0.031,0.019,0.288,0.294,2.04,37,4.04,72.97,0.478
