Rank,Count,Avg_Return,Median_Return,Win_Rate,Avg_Win,Avg_Loss,Expectancy
1,27,-0.19966666666666666,0.0122,51.85185185185185,0.577992857142857,-1.0371461538461537,-0.19966666666666671
2,27,0.13066666666666665,-0.0517,44.44444444444444,0.7994583333333333,-0.40436666666666665,0.1306666666666666
3,27,-0.006574074074074073,0.1088,59.25925925925925,0.38327500000000003,-0.5736272727272728,-0.006574074074074149
4,27,-0.21584814814814812,-0.1279,37.03703703703704,0.23153,-0.47901176470588225,-0.21584814814814807
5,27,-0.007922222222222225,-0.0675,40.74074074074074,0.5212363636363636,-0.39649999999999996,-0.02260740740740741
6,27,0.0403851851851852,-0.1199,44.44444444444444,0.6996916666666667,-0.48706,0.04038518518518519
7,27,0.05605555555555557,-0.0622,44.44444444444444,0.6163916666666666,-0.4202285714285714,0.04049153439153433
8,27,0.04865555555555555,-0.2275,33.33333333333333,0.8703,-0.3621666666666667,0.048655555555555424
9,27,0.14102222222222222,-0.0383,40.74074074074074,0.7488818181818182,-0.29534,0.1300837037037037
10,27,0.13673333333333335,0.027,51.85185185185185,0.5302571428571428,-0.3109833333333333,0.1252154320987654
11,27,0.07184814814814815,0.112,55.55555555555556,0.4111733333333333,-0.3523083333333333,0.07184814814814816
12,27,-0.018822222222222226,-0.0881,37.03703703703704,0.53979,-0.3474176470588235,-0.018822222222222185
13,27,0.08466666666666667,-0.1356,37.03703703703704,0.69827,-0.27627647058823535,0.08466666666666664
14,27,-0.11157777777777778,-0.229,33.33333333333333,0.43814444444444445,-0.3864388888888889,-0.11157777777777786
15,27,0.09247407407407407,-0.062,44.44444444444444,0.6695916666666667,-0.36922,0.09247407407407407
16,27,0.08240740740740742,-0.0059,48.148148148148145,0.7418615384615385,-0.529942857142857,0.08240740740740737
17,27,0.13641481481481482,0.0861,59.25925925925925,0.475625,-0.3569818181818182,0.1364148148148148
18,27,-0.14795925925925926,-0.1525,44.44444444444444,0.364075,-0.5575866666666667,-0.14795925925925926
19,27,-0.1019111111111111,-0.1223,37.03703703703704,0.29031,-0.33262941176470595,-0.10191111111111115
20,27,-0.05137777777777778,0.1035,59.25925925925925,0.2685,-0.5166545454545455,-0.05137777777777783
21,27,0.18557037037037036,0.1024,59.25925925925925,0.5207312500000001,-0.30193636363636367,0.18557037037037036
22,27,0.05918518518518518,-0.0271,44.44444444444444,0.5018416666666666,-0.2949399999999999,0.059185185185185174
23,27,-0.08594444444444445,-0.1001,44.44444444444444,0.5107333333333334,-0.5632866666666666,-0.0859444444444444
24,27,0.10436296296296296,-0.0468,37.03703703703704,0.74565,-0.27286470588235295,0.10436296296296302
25,27,0.2647925925925926,0.1808,66.66666666666666,0.5219611111111111,-0.24954444444444446,0.26479259259259247
26,27,0.058118518518518514,-0.0186,48.148148148148145,0.527846153846154,-0.3780571428571428,0.05811851851851854
27,27,0.3034962962962963,0.1828,59.25925925925925,0.74801875,-0.34308181818181815,0.3034962962962962
28,27,-0.06860740740740741,-0.1626,44.44444444444444,0.40278333333333327,-0.44572,-0.06860740740740748
29,27,0.27815555555555554,0.2111,66.66666666666666,0.6456555555555556,-0.5139499999999999,0.25912037037037033
30,27,-0.18538888888888888,-0.0697,44.44444444444444,0.5858083333333334,-0.8023466666666665,-0.18538888888888883
