Rank,Count,Avg_Return,Median_Return,Win_Rate,Avg_Win,Avg_Loss,Expectancy
1,52,-0.03380769230769231,0.01745,50.0,1.0055230769230767,-1.116064,-0.0552704615384616
2,37,0.2728702702702703,0.1539,59.45945945945946,0.8337772727272728,-0.5497933333333334,0.2728702702702703
3,26,-0.0030461538461538607,-0.07585,46.15384615384615,0.6530166666666665,-0.5653857142857143,-0.0030461538461539206
4,20,0.457775,0.31675,70.0,1.1559499999999996,-1.1713,0.4577749999999997
5,9,0.32728888888888885,0.57,66.66666666666666,0.9385,-0.8951333333333333,0.32728888888888863
6,3,0.31283333333333335,0.5867,66.66666666666666,0.61995,-0.3014,0.3128333333333332
7,3,0.19076666666666667,0.5739,66.66666666666666,0.6375500000000001,-0.7028,0.19076666666666653
8,1,-0.1233,-0.1233,0.0,0.0,-0.1233,0.0
9,1,-0.8571,-0.8571,0.0,0.0,-0.8571,0.0
10,1,-0.0963,-0.0963,0.0,0.0,-0.0963,0.0
11,1,-0.3785,-0.3785,0.0,0.0,-0.3785,0.0
12,1,-0.0908,-0.0908,0.0,0.0,-0.0908,0.0
13,1,-0.133,-0.133,0.0,0.0,-0.133,0.0
