Datetime,Symbol,GAP,Future_15m,Future_30m,Future_60m,Rank
2026-05-29 09:15:00+05:30,CIPLA.NS,-0.4372,-0.8206,-0.6663,-1.1292,28
2026-06-01 09:15:00+05:30,CIPLA.NS,0.3569,0.043,0.2078,0.8382,15
2026-06-02 09:15:00+05:30,CIPLA.NS,-0.7604,0.029,-0.2467,-0.4571,19
2026-06-03 09:15:00+05:30,CIPLA.NS,-0.0943,0.2922,0.7378,0.4237,20
2026-06-04 09:15:00+05:30,CIPLA.NS,0.3063,0.5284,0.8294,1.3358,6
2026-06-05 09:15:00+05:30,CIPLA.NS,-0.5577,0.2875,-0.0719,0.0216,30
2026-06-08 09:15:00+05:30,CIPLA.NS,-0.7279,-0.3206,-0.3491,-0.8406,8
2026-06-09 09:15:00+05:30,CIPLA.NS,0.0937,-0.1295,-0.302,-0.036,24
2026-06-10 09:15:00+05:30,CIPLA.NS,-0.2111,0.625,0.5523,0.6977,23
2026-06-11 09:15:00+05:30,CIPLA.NS,0.2913,0.1232,-0.0072,0.6304,1
2026-06-12 09:15:00+05:30,CIPLA.NS,0.7881,-0.23,-0.5534,-0.1869,18
2026-06-15 09:15:00+05:30,CIPLA.NS,0.2519,-0.0943,0.087,-0.0943,29
2026-06-16 09:15:00+05:30,CIPLA.NS,0.3039,0.0361,0.3534,0.0577,16
2026-06-17 09:15:00+05:30,CIPLA.NS,0.0145,-0.0146,-0.38,-0.4312,22
2026-06-18 09:15:00+05:30,CIPLA.NS,0.2814,-0.0807,-0.0954,-0.2495,15
2026-06-19 09:15:00+05:30,CIPLA.NS,-0.1251,-0.0295,-0.0589,-0.0736,9
2026-06-22 09:15:00+05:30,CIPLA.NS,1.8642,0.0144,0.5414,1.1189,2
2026-06-23 09:15:00+05:30,CIPLA.NS,0.3103,0.532,0.938,1.498,10
2026-06-24 09:15:00+05:30,CIPLA.NS,0.7035,0.7779,0.6727,0.6447,2
2026-06-25 09:15:00+05:30,CIPLA.NS,0.7302,-0.0486,0.0486,0.0764,4
2026-05-19 09:15:00+05:30,COALINDIA.NS,0.2491,-0.1199,-0.1199,-0.1526,9
2026-05-20 09:15:00+05:30,COALINDIA.NS,-0.5033,0.0769,0.1099,0.0989,17
2026-05-21 09:15:00+05:30,COALINDIA.NS,0.1962,0.2488,0.2921,0.119,25
2026-05-22 09:15:00+05:30,COALINDIA.NS,0.0543,-0.0763,0.0218,0.109,25
2026-05-25 09:15:00+05:30,COALINDIA.NS,0.3943,0.2398,0.6212,0.5776,26
