Rank,Count,Avg_Return,Median_Return,Win_Rate,Avg_Win,Avg_Loss,Expectancy
1,38,-0.07353947368421053,-0.1432,42.10526315789473,1.18761875,-0.9907454545454545,-0.07353947368421054
2,17,0.2054058823529412,0.1075,52.94117647058824,0.9403111111111111,-0.6213625,0.20540588235294116
3,12,-0.05214166666666669,-0.2785,41.66666666666667,0.75146,-0.6261428571428571,-0.05214166666666653
4,5,-0.06452,0.0642,60.0,0.3373333333333333,-0.6673,-0.06452
5,2,0.0929,0.0929,100.0,0.0929,0.0,0.0
6,1,0.5832,0.5832,100.0,0.5832,0.0,0.0
7,1,-0.151,-0.151,0.0,0.0,-0.151,0.0
8,1,-0.0963,-0.0963,0.0,0.0,-0.0963,0.0
9,1,-0.8568,-0.8568,0.0,0.0,-0.8568,0.0
10,1,-0.4787,-0.4787,0.0,0.0,-0.4787,0.0
11,1,-0.0206,-0.0206,0.0,0.0,-0.0206,0.0
12,1,0.6148,0.6148,100.0,0.6148,0.0,0.0
