Rank,Count,Avg_Return,Median_Return,Win_Rate,Avg_Win,Avg_Loss,Expectancy
1,27,-0.25106666666666666,-0.2327,40.74074074074074,0.6884181818181818,-0.8969624999999999,-0.25106666666666655
2,27,0.02681851851851851,-0.0848,48.148148148148145,0.5119846153846154,-0.4236928571428572,0.026818518518518436
3,27,-0.07651851851851851,-0.2261,33.33333333333333,0.9792555555555555,-0.6044055555555555,-0.0765185185185186
4,27,-0.2369,-0.0852,37.03703703703704,0.32611,-0.6035874999999999,-0.25925509259259255
5,27,0.31882222222222223,0.2974,74.07407407407408,0.6037250000000001,-0.49518571428571434,0.3188222222222223
6,27,0.06625925925925927,0.0,48.148148148148145,0.5028076923076923,-0.36519230769230765,0.05273361823361822
7,27,-0.010259259259259272,-0.1666,37.03703703703704,0.5145699999999999,-0.3189823529411765,-0.010259259259259329
8,27,0.07741111111111111,-0.1199,44.44444444444444,0.6434083333333335,-0.3753866666666667,0.07741111111111112
9,27,-0.07964444444444443,-0.0736,37.03703703703704,0.5454,-0.4473176470588236,-0.07964444444444446
10,27,-0.1106111111111111,-0.1397,40.74074074074074,0.3804636363636363,-0.448225,-0.11061111111111113
11,27,0.04917407407407408,-0.0186,44.44444444444444,0.6488333333333333,-0.4305533333333333,0.049174074074074064
12,27,-0.18892222222222224,-0.028,48.148148148148145,0.29776923076923073,-0.6408500000000001,-0.18892222222222235
13,27,0.1598074074074074,0.1269,55.55555555555556,0.5997666666666667,-0.3901416666666666,0.15980740740740745
14,27,-0.020144444444444427,-0.2249,37.03703703703704,0.6268,-0.4007,-0.020144444444444437
15,27,0.154437037037037,-0.0056,48.148148148148145,0.6281461538461538,-0.2854357142857143,0.15443703703703696
16,27,0.11143703703703703,0.0336,51.85185185185185,0.5677928571428571,-0.38002307692307696,0.11143703703703697
17,27,0.1579851851851852,0.0556,59.25925925925925,0.5446375,-0.4044181818181818,0.15798518518518512
18,27,-0.1255777777777778,-0.1004,25.925925925925924,0.6852285714285714,-0.40936000000000006,-0.12557777777777784
19,27,0.06800370370370369,0.0,48.148148148148145,0.5365461538461539,-0.39530769230769225,0.053362678062678054
20,27,0.061496296296296285,0.0314,55.55555555555556,0.5550266666666667,-0.5554166666666668,0.06149629629629627
21,27,-0.2157814814814815,-0.1775,33.33333333333333,0.3710555555555556,-0.5092,-0.21578148148148152
22,27,0.24385555555555558,0.1556,70.37037037037037,0.5470263157894738,-0.476175,0.24385555555555563
23,27,0.11121481481481482,0.112,62.96296296296296,0.3023647058823529,-0.23748888888888894,0.10241893004115224
24,27,0.2951037037037037,0.1506,62.96296296296296,0.5940529411764706,-0.21311,0.2951037037037037
25,27,0.0003888888888888779,-0.0114,40.74074074074074,0.27653636363636364,-0.20209333333333332,-0.0070960493827160465
26,27,0.007259259259259266,-0.1032,44.44444444444444,0.5552916666666666,-0.4311666666666667,0.007259259259259188
27,27,0.2399888888888889,0.1047,55.55555555555556,0.7322866666666666,-0.37538333333333335,0.2399888888888889
28,27,0.17517777777777777,-0.0376,44.44444444444444,0.7617916666666668,-0.2941133333333334,0.17517777777777774
29,27,0.1629074074074074,0.0377,51.85185185185185,0.5223142857142857,-0.22414615384615388,0.1629074074074074
30,27,-0.09871111111111111,-0.1333,37.03703703703704,0.4769099999999999,-0.4373117647058823,-0.09871111111111108
