Rank,Count,Avg_Return,Median_Return,Win_Rate,Avg_Win,Avg_Loss,Expectancy
1,38,-0.11471842105263161,-0.23610000000000003,44.73684210526316,1.2098117647058821,-1.186957142857143,-0.11471842105263186
2,17,0.5065470588235295,0.6628,70.58823529411765,1.095175,-0.9061600000000001,0.5065470588235295
3,12,0.05749166666666664,-0.0823,41.66666666666667,0.8356999999999999,-0.4983714285714286,0.05749166666666672
4,5,-0.07563999999999997,-0.1284,40.0,0.6008,-0.5266000000000001,-0.07564000000000001
5,2,-0.3356,-0.3356,50.0,0.2172,-0.8884,-0.3356
6,1,0.57,0.57,100.0,0.57,0.0,0.0
7,1,0.5739,0.5739,100.0,0.5739,0.0,0.0
8,1,-0.0963,-0.0963,0.0,0.0,-0.0963,0.0
9,1,-0.1233,-0.1233,0.0,0.0,-0.1233,0.0
10,1,-0.8571,-0.8571,0.0,0.0,-0.8571,0.0
11,1,-0.3785,-0.3785,0.0,0.0,-0.3785,0.0
12,1,-0.0908,-0.0908,0.0,0.0,-0.0908,0.0
