Rank,Count,Avg_Return,Median_Return,Win_Rate,Avg_Win,Avg_Loss,Expectancy
1,56,0.23745714285714284,0.1604,58.92857142857143,0.9092,-0.7263478260869565,0.23745714285714292
2,56,-0.11654464285714286,-0.1713,44.642857142857146,0.599848,-0.6942806451612902,-0.11654464285714272
3,56,-0.00763392857142856,-0.0108,48.214285714285715,0.5447925925925925,-0.5406035714285714,-0.017287563775510162
4,56,-0.0726392857142857,0.033549999999999996,51.78571428571429,0.41434827586206896,-0.643356,-0.09561628571428571
5,56,-0.022782142857142865,-0.0611,42.857142857142854,0.5071041666666666,-0.44820999999999994,-0.038789642857142925
6,56,-0.102625,-0.23475000000000001,33.92857142857143,0.4797526315789473,-0.4246371428571428,-0.11779061224489795
7,56,0.03851785714285715,0.0106,50.0,0.5588535714285714,-0.49966296296296303,0.02959530423280418
8,56,0.07893571428571429,0.0315,51.78571428571429,0.5122724137931034,-0.38650000000000007,0.07893571428571428
9,56,0.011380357142857138,0.08925,57.14285714285714,0.457134375,-0.5829583333333334,0.011380357142857095
10,56,-0.01832142857142857,-0.10795,39.285714285714285,0.5457636363636363,-0.38331764705882354,-0.0183214285714286
11,56,-0.08182142857142857,-0.045,46.42857142857143,0.43290769230769227,-0.52792,-0.08182142857142854
12,56,-0.017653571428571428,0.0009499999999999999,50.0,0.40227142857142856,-0.43757857142857143,-0.017653571428571435
13,56,-0.12955714285714287,-0.1608,41.07142857142857,0.31940869565217395,-0.47101935483870966,-0.14637926267281104
14,56,-0.052371428571428576,-0.0207,46.42857142857143,0.3614038461538461,-0.41097666666666666,-0.0523714285714286
15,56,0.04082500000000001,0.06085,57.14285714285714,0.39915,-0.47666363636363634,0.023801298701298684
16,56,-0.02701964285714286,-0.051250000000000004,46.42857142857143,0.44744230769230764,-0.43822,-0.027019642857142867
17,56,0.03064821428571429,-0.00465,48.214285714285715,0.5570592592592593,-0.47586785714285706,0.022150573979591942
18,56,-0.030842857142857144,0.01985,53.57142857142857,0.3907766666666667,-0.5173269230769232,-0.030842857142857172
19,56,0.015430357142857145,-0.08775,46.42857142857143,0.5562423076923078,-0.45327333333333336,0.015430357142857176
20,56,-0.008057142857142858,0.00945,50.0,0.3605785714285714,-0.3906444444444445,-0.01503293650793655
21,56,-0.007080357142857145,-0.0348,46.42857142857143,0.3850115384615384,-0.34689333333333333,-0.007080357142857152
22,56,0.028403571428571424,0.03055,57.14285714285714,0.35074375,-0.40138333333333337,0.02840357142857139
23,56,-0.07899464285714286,-0.11685000000000001,37.5,0.5501619047619049,-0.46991470588235296,-0.08738597689075625
24,56,0.05216428571428571,0.035250000000000004,55.35714285714286,0.40258387096774195,-0.3823559999999999,0.052164285714285774
25,56,-0.11410178571428571,-0.08325,42.857142857142854,0.3705041666666667,-0.47755625,-0.11410178571428578
26,56,-0.059241071428571435,-0.024300000000000002,48.214285714285715,0.3741592592592593,-0.4627517241379311,-0.05924107142857141
27,56,-0.04274642857142857,-0.022,46.42857142857143,0.3349615384615386,-0.38285517241379313,-0.04958312807881768
28,56,-0.02995,-0.05635,39.285714285714285,0.42001363636363626,-0.33083333333333337,-0.03585773809523818
29,56,-0.09137857142857143,-0.024149999999999998,44.642857142857146,0.297772,-0.41871666666666674,-0.09885565476190475
30,56,-0.029723214285714287,-0.05875,46.42857142857143,0.429273076923077,-0.4422620689655173,-0.037620751231527055
