Rank,Count,Avg_Return,Median_Return,Win_Rate,Avg_Win,Avg_Loss,Expectancy
1,56,0.09693928571428571,0.13855,55.35714285714286,0.8774064516129031,-0.8708400000000001,0.09693928571428567
2,56,-0.020385714285714285,-0.10275000000000001,42.857142857142854,0.7179958333333333,-0.574171875,-0.020385714285714396
3,56,-0.13763035714285715,-0.0947,42.857142857142854,0.4011875,-0.54174375,-0.13763035714285718
4,56,-0.03798214285714285,-0.018549999999999997,50.0,0.4203857142857143,-0.49635,-0.03798214285714285
5,56,-0.021475000000000005,0.018000000000000002,53.57142857142857,0.4151733333333334,-0.5253000000000001,-0.02147500000000005
6,56,0.004994642857142846,-0.0884,42.857142857142854,0.5878749999999999,-0.4461064516129033,-0.0029715437788019883
7,56,0.019662499999999996,0.048549999999999996,51.78571428571429,0.4717793103448276,-0.50322,0.0016903571428572017
8,56,-0.08474285714285713,-0.0632,41.07142857142857,0.44038695652173904,-0.4648281249999999,-0.09304335937500002
9,56,-0.09442678571428571,-0.08965000000000001,42.857142857142854,0.38485833333333336,-0.453890625,-0.09442678571428578
10,56,-0.19347142857142857,-0.09555,35.714285714285715,0.34964500000000004,-0.5243323529411765,-0.21219758403361344
11,56,-0.05552321428571428,-0.0226,46.42857142857143,0.43142692307692304,-0.4940137931034483,-0.06434488916256159
12,56,-0.02171428571428571,0.0277,51.78571428571429,0.37552758620689664,-0.4483814814814815,-0.021714285714285658
13,56,0.008307142857142855,-0.0351,46.42857142857143,0.42603846153846153,-0.36592413793103457,0.0017727832512315078
14,56,0.09957321428571429,-0.0138,46.42857142857143,0.5502615384615385,-0.29102333333333336,0.0995732142857143
15,56,-0.04551071428571429,0.0086,51.78571428571429,0.3103517241379311,-0.4619520000000001,-0.06200899999999998
16,56,-0.08612321428571428,-0.10865,39.285714285714285,0.4380954545454545,-0.4253235294117647,-0.08612321428571434
17,56,0.016239285714285717,-0.050600000000000006,44.642857142857146,0.44491600000000003,-0.34045,0.010159821428571497
18,56,-0.10226964285714286,-0.08529999999999999,39.285714285714285,0.37939090909090906,-0.4139323529411765,-0.10226964285714288
19,56,-0.12964107142857142,-0.06814999999999999,42.857142857142854,0.30580416666666665,-0.47094193548387087,-0.13805074884792626
20,56,0.1327482142857143,0.05055,55.35714285714286,0.5300225806451614,-0.359872,0.13274821428571434
21,56,0.03430178571428572,0.0178,53.57142857142857,0.4366,-0.4298884615384615,0.034301785714285715
22,56,0.12573214285714288,0.08015,57.14285714285714,0.449303125,-0.3189869565217391,0.12003594720496896
23,56,0.05476607142857143,0.01555,55.35714285714286,0.31070967741935496,-0.2735458333333333,0.04988132440476199
24,56,-0.08699107142857143,-0.04865,46.42857142857143,0.400423076923077,-0.5094166666666666,-0.08699107142857138
25,56,0.010992857142857138,0.02535,50.0,0.4722178571428572,-0.45023214285714286,0.010992857142857165
26,56,-0.009817857142857139,0.0163,50.0,0.4013535714285714,-0.4365814814814815,-0.017613955026455047
27,56,0.026449999999999998,0.058249999999999996,57.14285714285714,0.427784375,-0.5549045454545455,0.006631980519480496
28,56,0.015755357142857147,-0.028900000000000002,48.214285714285715,0.4604814814814815,-0.39830000000000004,0.015755357142857168
29,56,-0.10625892857142857,-0.12725,35.714285714285715,0.60527,-0.5310558823529411,-0.12522521008403353
30,56,-0.019821428571428566,0.02085,51.78571428571429,0.48094137931034475,-0.5576777777777777,-0.019821428571428518
