Rank,Count,Avg_Return,Median_Return,Win_Rate,Avg_Win,Avg_Loss,Expectancy
1,38,-0.11615000000000002,-0.2692,44.73684210526316,0.8656294117647058,-0.9109238095238096,-0.11615000000000014
2,17,0.20534117647058825,0.0854,58.82352941176471,0.60663,-0.4292500000000001,0.18009117647058825
3,12,-0.0684,0.0384,50.0,0.3453833333333333,-0.48218333333333335,-0.06840000000000002
4,5,-0.06120000000000001,-0.2435,40.0,0.39694999999999997,-0.36663333333333337,-0.061200000000000004
5,2,0.2471,0.2471,100.0,0.2471,0.0,0.0
6,1,0.2585,0.2585,100.0,0.2585,0.0,0.0
7,1,-0.1623,-0.1623,0.0,0.0,-0.1623,0.0
8,1,0.1071,0.1071,100.0,0.1071,0.0,0.0
9,1,-0.1421,-0.1421,0.0,0.0,-0.1421,0.0
10,1,-0.1107,-0.1107,0.0,0.0,-0.1107,0.0
11,1,0.2133,0.2133,100.0,0.2133,0.0,0.0
12,1,1.551,1.551,100.0,1.551,0.0,0.0
