Datetime,Symbol,Gap,Previous_Day_Return,RVOL,ORB_High,ORB_Low,ORB_Range,ORB_Percent,ORB_Body,VWAP_Distance,ATR_Percent,EMA20_Distance,Future_15m,Future_30m,Future_60m,RS_15,RS_30,RS_60,Rank
2026-05-08 09:15:00+05:30,PIDILITIND.NS,2.8493,0.6897,13.3927,1515.0,1493.2,21.8,1.4518,0.3663,-0.3552,0.5949,3.4265,-1.2365,-1.2499,-1.0761,2.4726,3.1793,3.2363,1
2026-05-14 09:15:00+05:30,PIDILITIND.NS,0.8884,0.5679,2.1654,1486.4,1464.9,21.5,1.4677,1.3585,0.4125,0.5114,2.0341,-0.3233,-0.788,-0.3637,2.259,2.8397,2.5273,3
2026-06-15 09:15:00+05:30,PIDILITIND.NS,1.6607,-0.2598,4.3798,1573.1,1560.0,13.1,0.8392,0.2627,-0.0617,0.5294,1.9011,0.0128,0.0064,0.2172,1.9277,1.6629,1.6167,5
2026-05-14 09:15:00+05:30,ZYDUSLIFE.NS,2.6351,-0.1223,11.8791,981.0,964.0,17.0,1.7635,1.3485,0.308,0.6196,3.7497,0.0921,0.1075,0.6653,4.0192,3.892,4.1134,2
2026-05-20 09:15:00+05:30,ZYDUSLIFE.NS,4.1613,-0.333,16.6164,1082.9,1046.45,36.4501,3.4385,1.1084,0.4452,1.2902,4.8502,1.3622,1.1196,0.4152,5.3159,4.9652,3.0428,1
2026-05-29 09:15:00+05:30,ALKEM.NS,4.1005,0.7545,51.9618,5787.0,5607.0,180.0,3.1582,0.5878,0.4204,1.0011,5.2986,-0.9245,-1.0204,-1.7094,4.7123,5.5024,5.0192,1
2026-04-08 09:15:00+05:30,APLAPOLLO.NS,3.9405,-0.1321,4.4513,1993.1,1965.1,28.0,1.4249,0.6259,-0.0573,0.7221,4.3149,-0.44,-0.5715,0.6675,4.5911,4.453,5.0691,2
2026-06-12 09:15:00+05:30,APLAPOLLO.NS,1.5759,-0.085,1.6549,1807.5,1791.9,15.6,0.8706,0.4911,0.037,0.5684,1.8184,-0.0611,-0.5276,-0.5831,2.0747,1.988,1.9418,2
2026-04-09 09:15:00+05:30,ASTRAL.NS,-0.5523,1.1103,1.8928,1553.8,1520.0,33.8,2.2084,1.4701,0.6959,0.626,1.1483,-0.8693,-1.4424,-1.0045,0.9097,2.0301,2.3057,1
2026-04-10 09:15:00+05:30,ASTRAL.NS,0.4735,-0.1023,2.1407,1609.0,1570.4,38.6,2.458,1.8212,0.3893,0.5369,2.4166,1.0632,1.3946,1.0006,2.3033,2.1986,2.1791,1
2026-04-29 09:15:00+05:30,ASTRAL.NS,0.6399,-0.1613,9.421,1600.1,1550.0,50.1,3.2179,2.7747,1.0547,0.641,3.1711,-1.5124,-1.3874,-1.8624,3.4324,3.2656,3.5395,1
2026-06-15 09:15:00+05:30,ASTRAL.NS,1.7819,-0.3974,2.489,1541.8,1518.0,23.8,1.5547,0.405,0.3089,0.6302,1.683,-0.4164,-0.8198,-0.8523,2.1941,1.7881,1.6871,4
2026-06-05 09:15:00+05:30,AUROPHARMA.NS,1.3323,0.0889,11.7501,1496.4,1475.0,21.4,1.4429,0.1686,-0.0045,0.5082,1.2031,0.0673,-0.0808,-0.4443,1.5031,1.5934,0.9925,1
2026-05-07 09:15:00+05:30,CGPOWER.NS,2.1176,-0.3145,2.9737,853.0,830.2,22.8,2.7094,0.9982,0.6553,1.109,2.3735,0.2824,0.9766,1.0119,3.137,2.8126,3.9125,2
2026-05-21 09:15:00+05:30,CGPOWER.NS,1.121,0.4163,3.7299,866.0,857.55,8.45,0.9758,0.7275,-0.1606,0.5056,1.7578,0.3082,-0.1221,0.0349,0.3853,0.8032,1.0401,1
2026-05-27 09:15:00+05:30,CGPOWER.NS,0.2328,0.1478,5.6794,906.85,882.8,24.05,2.7243,2.6223,0.8254,0.5819,2.7576,0.5685,1.1093,0.872,2.8612,3.0132,3.5371,1
