Datetime,Symbol,Gap,Previous_Day_Return,RVOL,ORB_High,ORB_Low,ORB_Range,ORB_Percent,ORB_Body,VWAP_Distance,ATR_Percent,EMA20_Distance,Future_15m,Future_30m,Future_60m,RS_15,RS_30,RS_60,Rank
2026-04-08 09:15:00+05:30,ASIANPAINT.NS,6.3215,-0.0686,4.5747,2327.8,2276.7,51.1001,2.1984,1.6994,-0.5037,0.7274,4.3594,0.4814,0.1794,-0.8884,4.5147,4.443,4.5721,4
2026-05-04 09:15:00+05:30,ASIANPAINT.NS,0.5758,0.2087,5.48,2506.8999,2462.8999,44.0,1.7865,1.2343,0.2251,0.5182,2.1706,0.385,0.1083,-0.0642,1.8172,2.0297,1.6802,3
2026-05-13 09:15:00+05:30,ASIANPAINT.NS,1.8461,0.1637,4.7209,2612.7,2554.3,58.3999,2.2863,1.3976,0.1676,0.5962,2.5872,-0.2741,0.5753,1.0541,3.2695,3.4386,3.1831,1
2026-06-01 09:15:00+05:30,ASIANPAINT.NS,2.448,0.2326,8.3529,2778.1001,2737.0,41.1001,1.5016,1.3043,0.3656,1.2615,3.1404,-1.5472,-1.2154,-1.659,3.7842,4.0257,3.3433,1
2026-06-15 09:15:00+05:30,ASIANPAINT.NS,2.186,-0.3165,12.0636,2831.3999,2799.0,32.3999,1.1571,0.9786,0.2885,0.5404,3.0721,-1.3935,-1.2591,-1.5774,3.186,2.8594,3.1107,1
2026-04-22 09:15:00+05:30,BRITANNIA.NS,0.4711,0.1286,6.2965,5920.0,5785.0,135.0,2.3018,1.3555,-0.7661,0.5315,0.363,0.1296,0.0086,-0.242,-0.8908,-0.7633,-0.3531,2
2026-05-08 09:15:00+05:30,BRITANNIA.NS,-4.3445,1.3703,11.9329,5650.0,5525.0,125.0,2.222,1.5732,-0.6044,0.894,-4.2232,0.4425,0.6502,0.9843,-5.8493,-4.5592,-4.1461,5
2026-04-24 09:15:00+05:30,CIPLA.NS,-2.1806,0.1533,9.1811,1291.5,1254.7,36.8,2.8784,0.9464,0.9122,0.6304,-0.0641,-0.3409,-0.3564,0.031,-1.2548,-1.1035,-0.9441,2
2026-05-14 09:15:00+05:30,CIPLA.NS,3.2766,-0.4499,6.5076,1430.6,1371.1,59.5,4.3396,2.1078,-0.0405,1.5673,5.0248,-0.2643,1.1429,1.2143,5.4535,4.979,5.1288,1
2026-04-13 09:15:00+05:30,COALINDIA.NS,-0.0115,0.4152,4.9272,439.35,433.0,6.35,1.4589,0.3906,-0.402,1.0322,-1.462,-0.1499,0.0461,0.0115,-0.402,0.0115,0.127,2
2026-04-28 09:15:00+05:30,COALINDIA.NS,0.3847,0.6527,6.7665,470.0,456.7,13.3,2.9122,2.6932,0.8096,0.5323,3.1416,0.8529,0.2878,0.2878,3.0882,3.7611,3.6235,1
2026-05-08 09:15:00+05:30,COALINDIA.NS,-0.9667,-0.2251,1.5383,461.75,456.3,5.45,1.1822,0.3579,0.0472,0.954,-1.3869,-0.3592,-0.3265,0.283,-1.3212,-1.5432,-1.3529,4
2026-05-15 09:15:00+05:30,COALINDIA.NS,0.2408,0.4618,1.7626,465.25,455.3,9.95,2.1727,1.3211,0.5381,0.7651,0.4457,-0.1401,0.4526,0.7112,1.5651,2.0341,1.6986,1
