Datetime,Close,High,Low,Open,Volume
2026-05-18 09:15:00+05:30,9013.5,9092.0,8991.0,9092.0,17974
2026-05-18 09:30:00+05:30,9006.0,9030.0,8991.5,9009.0,12663
2026-05-18 09:45:00+05:30,8965.0,9016.0,8944.0,9005.0,12623
2026-05-18 10:00:00+05:30,8975.5,8981.0,8957.0,8963.0,8526
2026-05-18 10:15:00+05:30,8986.0,9004.0,8973.0,8976.5,20187
2026-05-18 10:30:00+05:30,8991.0,9010.0,8962.5,8985.0,8558
2026-05-18 10:45:00+05:30,9025.0,9025.0,8983.0,8988.5,6028
2026-05-18 11:00:00+05:30,9053.0,9064.0,9016.0,9022.0,9820
2026-05-18 11:15:00+05:30,9049.0,9060.0,9040.0,9053.5,10636
2026-05-18 11:30:00+05:30,9064.5,9070.0,9045.5,9049.0,5826
2026-05-18 11:45:00+05:30,9036.0,9068.0,9036.0,9063.5,5385
2026-05-18 12:00:00+05:30,9064.0,9064.0,9030.0,9035.0,5013
2026-05-18 12:15:00+05:30,9087.5,9088.0,9048.0,9061.0,7035
2026-05-18 12:30:00+05:30,9115.0,9136.5,9084.5,9084.5,11206
2026-05-18 12:45:00+05:30,9132.5,9134.0,9095.5,9115.0,9673
2026-05-18 13:00:00+05:30,9126.0,9154.5,9110.0,9127.0,11353
2026-05-18 13:15:00+05:30,9126.5,9140.0,9116.0,9126.0,8139
2026-05-18 13:30:00+05:30,9135.0,9140.0,9119.0,9126.5,9485
2026-05-18 13:45:00+05:30,9147.0,9150.0,9124.5,9136.5,11230
2026-05-18 14:00:00+05:30,9144.5,9147.0,9126.0,9143.5,9684
2026-05-18 14:15:00+05:30,9136.5,9140.0,9125.0,9139.0,6962
2026-05-18 14:30:00+05:30,9152.5,9157.0,9133.0,9138.5,9548
2026-05-18 14:45:00+05:30,9123.5,9154.5,9113.0,9153.5,13749
2026-05-18 15:00:00+05:30,9143.5,9170.0,9123.0,9123.0,23758
2026-05-18 15:15:00+05:30,9151.0,9170.0,9141.5,9143.5,20600
2026-05-19 09:15:00+05:30,9124.0,9168.5,9109.5,9168.5,7083
2026-05-19 09:30:00+05:30,9154.5,9168.0,9090.0,9121.5,13503
2026-05-19 09:45:00+05:30,9193.0,9215.0,9140.5,9152.0,17759
2026-05-19 10:00:00+05:30,9221.0,9223.5,9177.0,9189.5,11708
2026-05-19 10:15:00+05:30,9198.0,9223.0,9186.0,9220.5,6693
