Datetime,Close,High,Low,Open,Volume
2026-05-18 09:15:00+05:30,126600.0,127800.0,126550.0,127800.0,286
2026-05-18 09:30:00+05:30,127000.0,127035.0,126520.0,126560.0,202
2026-05-18 09:45:00+05:30,126790.0,127085.0,126720.0,127000.0,109
2026-05-18 10:00:00+05:30,126715.0,127020.0,126715.0,126905.0,111
2026-05-18 10:15:00+05:30,127070.0,127170.0,126820.0,126825.0,90
2026-05-18 10:30:00+05:30,127070.0,127195.0,126805.0,127000.0,158
2026-05-18 10:45:00+05:30,127190.0,127190.0,127015.0,127070.0,59
2026-05-18 11:00:00+05:30,127260.0,127300.0,127070.0,127100.0,76
2026-05-18 11:15:00+05:30,127390.0,127390.0,127165.0,127260.0,38
2026-05-18 11:30:00+05:30,127430.0,127495.0,127320.0,127320.0,114
2026-05-18 11:45:00+05:30,128090.0,128175.0,127320.0,127325.0,369
2026-05-18 12:00:00+05:30,128460.0,128585.0,127615.0,128080.0,290
2026-05-18 12:15:00+05:30,128540.0,128580.0,128360.0,128500.0,124
2026-05-18 12:30:00+05:30,128600.0,128720.0,128265.0,128540.0,158
2026-05-18 12:45:00+05:30,128670.0,128710.0,128520.0,128520.0,116
2026-05-18 13:00:00+05:30,129280.0,129280.0,128545.0,128680.0,293
2026-05-18 13:15:00+05:30,129070.0,129220.0,128905.0,129140.0,227
2026-05-18 13:30:00+05:30,129245.0,129300.0,129000.0,129000.0,159
2026-05-18 13:45:00+05:30,129175.0,129295.0,129095.0,129265.0,161
2026-05-18 14:00:00+05:30,128975.0,129175.0,128955.0,129175.0,166
2026-05-18 14:15:00+05:30,129015.0,129110.0,128825.0,129050.0,135
2026-05-18 14:30:00+05:30,129025.0,129100.0,128820.0,129030.0,155
2026-05-18 14:45:00+05:30,128835.0,129035.0,128625.0,129010.0,157
2026-05-18 15:00:00+05:30,129095.0,129335.0,128630.0,128630.0,725
2026-05-18 15:15:00+05:30,129110.0,129250.0,129015.0,129120.0,507
2026-05-19 09:15:00+05:30,128265.0,129500.0,128000.0,129100.0,481
2026-05-19 09:30:00+05:30,127760.0,128265.0,127400.0,128265.0,743
2026-05-19 09:45:00+05:30,127630.0,127860.0,127530.0,127860.0,172
2026-05-19 10:00:00+05:30,127830.0,127895.0,127630.0,127630.0,158
2026-05-19 10:15:00+05:30,127795.0,127895.0,127675.0,127815.0,82
2026-05-19 10:30:00+05:30,127850.0,128030.0,127800.0,127890.0,135
2026-05-19 10:45:00+05:30,127920.0,128055.0,127850.0,127850.0,72
2026-05-19 11:00:00+05:30,127740.0,127980.0,127650.0,127925.0,146
2026-05-19 11:15:00+05:30,127695.0,127840.0,127625.0,127840.0,101
2026-05-19 11:30:00+05:30,127805.0,127805.0,127655.0,127670.0,45
2026-05-19 11:45:00+05:30,128115.0,128195.0,127690.0,127800.0,160
2026-05-19 12:00:00+05:30,128100.0,128205.0,127900.0,128110.0,306
2026-05-19 12:15:00+05:30,128105.0,128275.0,128000.0,128150.0,240
2026-05-19 12:30:00+05:30,128005.0,128170.0,127915.0,128105.0,101
2026-05-19 12:45:00+05:30,128165.0,128200.0,127950.0,127950.0,85
2026-05-19 13:00:00+05:30,128085.0,128160.0,128030.0,128055.0,71
2026-05-19 13:15:00+05:30,127920.0,128150.0,127920.0,128120.0,80
2026-05-19 13:30:00+05:30,127915.0,128085.0,127800.0,127970.0,147
2026-05-19 13:45:00+05:30,127690.0,127890.0,127650.0,127885.0,154
2026-05-19 14:00:00+05:30,127770.0,127845.0,127650.0,127650.0,143
2026-05-19 14:15:00+05:30,127645.0,127840.0,127645.0,127770.0,107
2026-05-19 14:30:00+05:30,127400.0,127740.0,127300.0,127730.0,346
2026-05-19 14:45:00+05:30,127440.0,127515.0,127250.0,127400.0,242
2026-05-19 15:00:00+05:30,126855.0,127440.0,126855.0,127440.0,853
2026-05-19 15:15:00+05:30,126740.0,126965.0,126205.0,126900.0,1367
2026-05-20 09:15:00+05:30,125970.0,126240.0,125440.0,126240.0,440
2026-05-20 09:30:00+05:30,126035.0,126270.0,125975.0,126000.0,262
